office,district_id,district,district_md_ref,district_web_ref,legislator,party,city_town,percent,PVI,PVI_N,summary
State Representative,58868,Fourteenth Suffolk,[Fourteenth Suffolk](state-rep-fourteenth-suffolk.html),<a href=state-rep-fourteenth-suffolk.html>Fourteenth Suffolk</a>,Rob Consalvo (D-Boston),Democratic,Boston,1.0,D+30,30.47402303165132,"The Massachusetts Fourteenth Suffolk State Representative District is currently represented by Rob Consalvo (D-Boston), who has held the seat since 2020. The district is located entirely within Boston and has a diverse population that is predominantly minority (67%), with significant Black (37%) and Hispanic (24%) communities."
State Representative,58887,Fourteenth Worcester,[Fourteenth Worcester](state-rep-fourteenth-worcester.html),<a href=state-rep-fourteenth-worcester.html>Fourteenth Worcester</a>,James J. O'Day (D-West Boylston),Democratic,West Boylston,1.0,D+15,15.090236656743883,"The Fourteenth Worcester district includes West Boylston and several precincts in Worcester. The district is currently represented by Democratic incumbent James J. O'Day of West Boylston, who has held the seat since 2007 and has run unopposed in most recent elections."
State Representative,58736,Fourth Barnstable,[Fourth Barnstable](state-rep-fourth-barnstable.html),<a href=state-rep-fourth-barnstable.html>Fourth Barnstable</a>,Hadley Luddy (D-Orleans),Democratic,Orleans,1.0,D+19,19.17802968782366,"The Massachusetts Fourth Barnstable State Representative District covers seven Cape Cod towns including Chatham, Eastham, Harwich, Orleans, Provincetown, Truro, and Wellfleet. The current incumbent is Democrat Sarah K. Peake of Provincetown, who has held the seat since 2007 and has run unopposed in most recent elections."
State Representative,58745,Fourth Bristol,[Fourth Bristol](state-rep-fourth-bristol.html),<a href=state-rep-fourth-bristol.html>Fourth Bristol</a>,Steven S. Howitt (R-Seekonk),Republican,Seekonk,1.0,R+2,-1.8720657640736824,"The Massachusetts Fourth Bristol State Representative District covers Norton (precincts 1, 2), Rehoboth, Seekonk, and Swansea (precincts 4, 5), with a predominantly white (91%) population of 41,529. The incumbent is Republican Steven S. Howitt of Seekonk, who has represented the district since 2010 when he defeated Democrat Steven J. D'Amico."
State Representative,58759,Fourth Essex,[Fourth Essex](state-rep-fourth-essex.html),<a href=state-rep-fourth-essex.html>Fourth Essex</a>,Estela A. Reyes (D-Lawrence),Democratic,Lawrence,1.0,D+12,11.741635333670263,"The Massachusetts Fourth Essex State Representative District includes parts of Lawrence and Methuen, with a diverse population that is 75% minority and 69% Hispanic. The current incumbent is Democrat Estela A. Reyes of Lawrence, who was elected in 2022 and ran unopposed in the most recent election in 2024."
State Representative,58779,Fourth Hampden,[Fourth Hampden](state-rep-fourth-hampden.html),<a href=state-rep-fourth-hampden.html>Fourth Hampden</a>,Kelly W. Pease (R-Westfield),Republican,Westfield,0.5883104439476206,EVEN,-0.3976457315406523,"This is the Massachusetts Fourth Hampden State Representative District, currently represented by Republican incumbent Kelly W. Pease of Westfield. The district primarily consists of Westfield and Southampton in western Massachusetts."
State Representative,58794,Fourth Middlesex,[Fourth Middlesex](state-rep-fourth-middlesex.html),<a href=state-rep-fourth-middlesex.html>Fourth Middlesex</a>,Danielle W. Gregoire (D-Marlborough),Democratic,Marlborough,1.0,D+15,15.430600534800288,"The Massachusetts Fourth Middlesex State Representative District is currently represented by incumbent Democratic Representative Danielle W. Gregoire of Marlborough. The district encompasses parts of Framingham and Marlborough, with a population of approximately 42,327 people."
State Representative,58831,Fourth Norfolk,[Fourth Norfolk](state-rep-fourth-norfolk.html),<a href=state-rep-fourth-norfolk.html>Fourth Norfolk</a>,James Michael Murphy (D-Weymouth),Democratic,Weymouth,1.0,D+8,8.200189763683719,"The district is currently represented by incumbent James Michael Murphy, a Democrat from Weymouth. The Fourth Norfolk district consists entirely of Weymouth precincts and has been represented by Murphy since a special election in 2001."
State Representative,58846,Fourth Plymouth,[Fourth Plymouth](state-rep-fourth-plymouth.html),<a href=state-rep-fourth-plymouth.html>Fourth Plymouth</a>,Patrick Joseph Kearney (D-Scituate),Democratic,Scituate,1.0,D+8,8.323852946244937,"The Fourth Plymouth State Representative District in Massachusetts is represented by incumbent Patrick Joseph Kearney (D-Scituate). The district covers parts of Marshfield, Norwell, and Scituate on Massachusetts' South Shore region."
State Representative,58858,Fourth Suffolk,[Fourth Suffolk](state-rep-fourth-suffolk.html),<a href=state-rep-fourth-suffolk.html>Fourth Suffolk</a>,David Biele (D-Boston),Democratic,Boston,1.0,D+18,17.959018868308718,"The Massachusetts Fourth Suffolk State Representative District is currently represented by incumbent Democratic representative David Biele of Boston. The district is located entirely within Boston, encompassing parts of South Boston and surrounding neighborhoods."
State Representative,58877,Fourth Worcester,[Fourth Worcester](state-rep-fourth-worcester.html),<a href=state-rep-fourth-worcester.html>Fourth Worcester</a>,Natalie Higgins (D-Leominster),Democratic,Leominster,0.5750201938610663,D+6,6.122553188247892,"The Massachusetts Fourth Worcester State Representative District encompasses the city of Leominster. The district is currently represented by incumbent Democrat Natalie Higgins of Leominster, who has held the seat since 2016 and most recently won reelection in 2024 with 58% of the vote against Republican challenger Salvatore Perla."
State Representative,58809,Nineteenth Middlesex,[Nineteenth Middlesex](state-rep-nineteenth-middlesex.html),<a href=state-rep-nineteenth-middlesex.html>Nineteenth Middlesex</a>,David Allen Robertson (D-Wilmington),Democratic,Wilmington,0.5262055385646655,D+2,1.647545595652522,"The Massachusetts Nineteenth Middlesex State Representative District encompasses parts of Tewksbury and Wilmington, covering 27 square miles with a population of 40,440. The district is currently represented by incumbent Democratic Representative David Allen Robertson of Wilmington, who won reelection in 2024 with 53% of the vote against Republican and third-party challengers."
State Representative,58873,Nineteenth Suffolk,[Nineteenth Suffolk](state-rep-nineteenth-suffolk.html),<a href=state-rep-nineteenth-suffolk.html>Nineteenth Suffolk</a>,Jeffrey Rosario Turco (D-Winthrop),Democratic,Winthrop,1.0,D+11,10.752112051039177,"The Nineteenth Suffolk State Representative District of Massachusetts includes parts of Revere (various precincts) and Winthrop. The current incumbent is Democratic Representative Jeffrey Rosario Turco of Winthrop, who has held the seat since winning a special election in March 2021, following longtime representative Robert DeLeo's departure."
State Representative,64670,Nineteenth Worcester,[Nineteenth Worcester](state-rep-nineteenth-worcester.html),<a href=state-rep-nineteenth-worcester.html>Nineteenth Worcester</a>,Kate Donaghue (D-Westborough),Democratic,Westborough,0.777097366809553,D+20,19.851071015062328,"The Nineteenth Worcester State Representative District is currently represented by Kate Donaghue (D-Westborough), who won reelection in 2024 with 78% of the vote. The district includes portions of Framingham, Northborough, Southborough, and Westborough, covering 47 square miles with a population of 41,148."
State Representative,58750,Ninth Bristol,[Ninth Bristol](state-rep-ninth-bristol.html),<a href=state-rep-ninth-bristol.html>Ninth Bristol</a>,Christopher M. Markey (D-Dartmouth),Democratic,Dartmouth,1.0,D+1,1.350005288072087,"The Massachusetts Ninth Bristol State Representative District encompasses parts of Dartmouth and New Bedford, with a population of 41,194. The district is currently represented by incumbent Christopher M. Markey, a Democrat from Dartmouth, who has held the seat since 2010 and has run unopposed in most recent elections."
State Representative,58764,Ninth Essex,[Ninth Essex](state-rep-ninth-essex.html),<a href=state-rep-ninth-essex.html>Ninth Essex</a>,Donald H. Wong (R-Saugus),Republican,Saugus,1.0,D+3,2.701185101154091,"The Massachusetts Ninth Essex State Representative District is currently represented by Republican Donald H. Wong of Saugus, who has held the seat since 2010. The district encompasses parts of Lynn, Saugus, and Wakefield, covering 16 square miles with a population of approximately 44,901 residents."
State Representative,58784,Ninth Hampden,[Ninth Hampden](state-rep-ninth-hampden.html),<a href=state-rep-ninth-hampden.html>Ninth Hampden</a>,Orlando Ramos (D-Springfield),Democratic,Springfield,1.0,D+18,17.86151088923692,"The Massachusetts Ninth Hampden State Representative District is located entirely within Springfield, comprising various precincts across the city. The current incumbent is Orlando Ramos, a Democrat from Springfield, who has held the seat since 2020 and was most recently reelected in 2022 with 100% of the vote."
State Representative,58799,Ninth Middlesex,[Ninth Middlesex](state-rep-ninth-middlesex.html),<a href=state-rep-ninth-middlesex.html>Ninth Middlesex</a>,Thomas M. Stanley (D-Waltham),Democratic,Waltham,0.7273267433695241,D+19,18.915887024687297,"This district is represented by incumbent Thomas M. Stanley (Democrat) from Waltham. The Ninth Middlesex State Representative District is located entirely within Waltham, covering 14 precincts in the city."
State Representative,58836,Ninth Norfolk,[Ninth Norfolk](state-rep-ninth-norfolk.html),<a href=state-rep-ninth-norfolk.html>Ninth Norfolk</a>,Marcus S. Vaughn (R-Wrentham),Republican,Wrentham,0.5740970888411856,D+7,7.441965971801878,"This Massachusetts Ninth Norfolk State Representative District is currently represented by Republican incumbent Marcus S. Vaughn of Wrentham, who won the seat in 2022 and was re-elected in 2024. The district includes parts of Medfield and Walpole, as well as Millis, Norfolk, Plainville, and Wrentham."
State Representative,58851,Ninth Plymouth,[Ninth Plymouth](state-rep-ninth-plymouth.html),<a href=state-rep-ninth-plymouth.html>Ninth Plymouth</a>,Bridget M. Plouffe (D-Brockton),Democratic,Brockton,0.5430423986020417,D+9,9.184837677753777,"The Massachusetts Ninth Plymouth State Representative District encompasses parts of Brockton, East Bridgewater, Easton, and West Bridgewater, with a population of 46,626. The current representative is Democrat Bridget M. Plouffe of Brockton, who was elected in 2024, succeeding longtime Democratic representative Gerard J. Cassidy."
State Representative,58863,Ninth Suffolk,[Ninth Suffolk](state-rep-ninth-suffolk.html),<a href=state-rep-ninth-suffolk.html>Ninth Suffolk</a>,John Francis Moran (D-Boston),Democratic,Boston,0.8245861670730142,D+37,36.77199919737589,"The Massachusetts Ninth Suffolk State Representative District is currently represented by Democratic incumbent John Francis Moran, who won a special election in 2023 with 100% of the vote. The district is located entirely in Boston, encompassing parts of 18 precincts within the city, and has a diverse population with 56% minority residents and 44% white residents."
State Representative,58882,Ninth Worcester,[Ninth Worcester](state-rep-ninth-worcester.html),<a href=state-rep-ninth-worcester.html>Ninth Worcester</a>,"David Kent Muradian, Jr (R-Grafton)",Republican,Grafton,1.0,D+7,7.150454218866997,"The Ninth Worcester State Representative District is currently represented by Republican incumbent David Kent Muradian, Jr. of Grafton. The district encompasses the towns of Grafton, Northbridge, and Upton in central Massachusetts, covering 63 square miles with a population of 44,010."
State Representative,58734,Second Barnstable,[Second Barnstable](state-rep-second-barnstable.html),<a href=state-rep-second-barnstable.html>Second Barnstable</a>,Kip A. Diggs (D-Barnstable),Democratic,Barnstable,0.5935887215205807,D+8,7.796722435356484,"The Second Barnstable district is represented by incumbent Democrat Kip A. Diggs of Barnstable. The district includes most of Barnstable and portions of Yarmouth on Cape Cod, covering an area of 46 square miles with a population of approximately 44,853 residents."
State Representative,58739,Second Berkshire,[Second Berkshire](state-rep-second-berkshire.html),<a href=state-rep-second-berkshire.html>Second Berkshire</a>,Tricia Farley-Bouvier (D-Pittsfield),Democratic,Pittsfield,1.0,D+24,23.62924496824385,"The Massachusetts Second Berkshire State Representative District is represented by incumbent Democrat Tricia Farley-Bouvier of Pittsfield. The district encompasses portions of Pittsfield and has a population of 43,730."
State Representative,58743,Second Bristol,[Second Bristol](state-rep-second-bristol.html),<a href=state-rep-second-bristol.html>Second Bristol</a>,James K. Hawkins (D-Attleboro),Democratic,Attleboro,0.6829072628088566,D+7,6.708132062772554,"The Second Bristol State Representative District is located entirely in the city of Attleboro and is currently represented by Democrat James K. Hawkins, who has held the seat since winning a special election in April 2018."
State Representative,58757,Second Essex,[Second Essex](state-rep-second-essex.html),<a href=state-rep-second-essex.html>Second Essex</a>,Kristin E. Kassner (D-Hamilton),Democratic,Hamilton,0.542210970464135,D+11,11.033870522250687,"The Second Essex State Representative District in Massachusetts is currently represented by Kristin E. Kassner, a Democrat from Hamilton, who won a close race in 2022 and was reelected in 2024. The district encompasses Georgetown, Hamilton, Ipswich, Newbury, Rowley, and part of Topsfield, covering 112 square miles with a population of 46,046."
State Representative,58775,Second Franklin,[Second Franklin](state-rep-second-franklin.html),<a href=state-rep-second-franklin.html>Second Franklin</a>,Susannah M. Whipps (U-Athol),Unenrolled,Athol,0.657475405293058,D+6,6.161635602536519,"The Massachusetts Second Franklin State Representative District is currently represented by Susannah M. Whipps, an Independent from Athol who has held the seat since 2015. The district encompasses parts of central/north-central Massachusetts including the towns of Athol, Erving, Gill, parts of Greenfield, Northfield, Orange, Phillipston, Royalston, Warwick, and a precinct of Winchendon."
State Representative,58777,Second Hampden,[Second Hampden](state-rep-second-hampden.html),<a href=state-rep-second-hampden.html>Second Hampden</a>,Brian M. Ashe (D-Longmeadow),Democratic,Longmeadow,1.0,D+5,5.284261962616177,"The Massachusetts Second Hampden State Representative District is represented by incumbent Brian M. Ashe (D-Longmeadow), who has held the seat since 2008. The district includes parts of East Longmeadow, Hampden, Longmeadow, Monson, and Springfield, covering approximately 72 square miles in western Massachusetts."
State Representative,58789,Second Hampshire,[Second Hampshire](state-rep-second-hampshire.html),<a href=state-rep-second-hampshire.html>Second Hampshire</a>,Homar Gomez (D-Easthampton),Democratic,Easthampton,1.0,D+18,18.034318353177923,"The Massachusetts Second Hampshire State Representative District includes Easthampton, parts of Granby, Hadley, and South Hadley, with a population of 41,674. The current incumbent is Democrat Homar Gomez of Easthampton, who will represent the district following the 2024 election."
State Representative,58792,Second Middlesex,[Second Middlesex](state-rep-second-middlesex.html),<a href=state-rep-second-middlesex.html>Second Middlesex</a>,James Arciero (D-Westford),Democratic,Westford,1.0,D+17,16.615547337379365,"This state legislative district encompasses parts of Chelmsford and all of Littleton and Westford. It is currently represented by Democratic incumbent James Arciero of Westford, who has held the seat since 2008."
State Representative,58829,Second Norfolk,[Second Norfolk](state-rep-second-norfolk.html),<a href=state-rep-second-norfolk.html>Second Norfolk</a>,Tackey Chan (D-Quincy),Democratic,Quincy,0.6957294415423555,D+15,15.082643882209112,"The Massachusetts Second Norfolk State Representative District is located entirely within the city of Quincy, encompassing 14 precincts. The district is currently represented by Democratic incumbent Tackey Chan, who has held the seat since 2010 and won reelection in 2024 with 70% of the vote."
State Representative,58844,Second Plymouth,[Second Plymouth](state-rep-second-plymouth.html),<a href=state-rep-second-plymouth.html>Second Plymouth</a>,John Robert Gaskey (R-Carver),Republican,Carver,0.8901691719478343,R+2,-1.8160239506206932,"The Massachusetts Second Plymouth State Representative District is currently represented by Republican John Robert Gaskey from Carver, who won election in 2024 succeeding long-time incumbent Susan Williams Gifford. The district includes the towns of Carver and Wareham, plus parts of Middleborough, with a predominantly white (86%) population of approximately 42,045 residents."
State Representative,58856,Second Suffolk,[Second Suffolk](state-rep-second-suffolk.html),<a href=state-rep-second-suffolk.html>Second Suffolk</a>,Daniel J. Ryan (D-Boston),Democratic,Boston,1.0,D+30,29.99008954658202,"The Massachusetts Second Suffolk State Representative District is currently represented by incumbent Daniel J. Ryan (D-Boston), who has held the seat since winning a special election in 2014 and has run unopposed in subsequent elections. The district includes portions of Boston, Cambridge, and Everett, with a population of approximately 42,463 residents."
State Representative,58875,Second Worcester,[Second Worcester](state-rep-second-worcester.html),<a href=state-rep-second-worcester.html>Second Worcester</a>,Jonathan D. Zlotnik (D-Gardner),Democratic,Gardner,0.5224702812409394,EVEN,0.1500603758008534,"The Second Worcester State Representative District in Massachusetts is represented by incumbent Democrat Jonathan D. Zlotnik of Gardner, who has held the seat since 2013. The district includes the cities/towns of Ashburnham, Gardner, Templeton, and parts of Winchendon (precincts 2 and 3), covering a mostly rural area in central Massachusetts."
State Representative,58772,Seventeenth Essex,[Seventeenth Essex](state-rep-seventeenth-essex.html),<a href=state-rep-seventeenth-essex.html>Seventeenth Essex</a>,Frank A. Moran (D-Lawrence),Democratic,Lawrence,1.0,D+17,16.734542758407432,"The 17th Essex State Representative District in Massachusetts includes parts of Andover and Lawrence. It has been represented by incumbent Democratic Representative Frank A. Moran of Lawrence since 2012, who has run unopposed in the last several elections."
State Representative,58807,Seventeenth Middlesex,[Seventeenth Middlesex](state-rep-seventeenth-middlesex.html),<a href=state-rep-seventeenth-middlesex.html>Seventeenth Middlesex</a>,Vanna Howard (D-Lowell),Democratic,Lowell,0.7786205261910405,D+14,13.50014857274784,"The Seventeenth Middlesex State Representative District primarily covers portions of Lowell and one precinct of Tewksbury, with a population of 45,189. The current incumbent is Democratic Representative Vanna Howard of Lowell, who has held the seat since 2020 and was most recently reelected in 2024 with 78% of the vote."
State Representative,58871,Seventeenth Suffolk,[Seventeenth Suffolk](state-rep-seventeenth-suffolk.html),<a href=state-rep-seventeenth-suffolk.html>Seventeenth Suffolk</a>,Kevin G. Honan (D-Boston),Democratic,Boston,1.0,D+36,35.751010141944384,"The Massachusetts Seventeenth Suffolk State Representative District is currently represented by Kevin G. Honan, a Democrat from Boston who has held the seat unchallenged since at least 1994. The district encompasses parts of Boston and Brookline, covering approximately 2 square miles with a population of 42,369 residents."
State Representative,58890,Seventeenth Worcester,[Seventeenth Worcester](state-rep-seventeenth-worcester.html),<a href=state-rep-seventeenth-worcester.html>Seventeenth Worcester</a>,David Henry Argosky Leboeuf (D-Worcester),Democratic,Worcester,1.0,D+11,11.309597892948153,"The 17th Worcester State Representative District in Massachusetts includes parts of Leicester and Worcester. It is currently represented by Democrat David Henry Argosky LeBoeuf from Worcester, who has held the seat since 2018 and ran unopposed in the 2024 election."
State Representative,58748,Seventh Bristol,[Seventh Bristol](state-rep-seventh-bristol.html),<a href=state-rep-seventh-bristol.html>Seventh Bristol</a>,Alan Silvia (D-Fall River),Democratic,Fall River,1.0,D+1,0.543046406617187,"The Massachusetts Seventh Bristol State Representative District is located in Fall River and is currently represented by Democrat Alan Silvia. The district has a population of about 40,266 with 35% minority residents and 21% living below poverty level."
State Representative,58762,Seventh Essex,[Seventh Essex](state-rep-seventh-essex.html),<a href=state-rep-seventh-essex.html>Seventh Essex</a>,Manny Cruz (D-Salem),Democratic,Salem,1.0,D+24,24.419589436019095,"The Massachusetts Seventh Essex State Representative District comprises the city of Salem, with a population of approximately 44,000. Democratic incumbent Manny Cruz currently represents the district, having been elected in 2022 after Paul F. Tucker's tenure from 2014-2022."
State Representative,58782,Seventh Hampden,[Seventh Hampden](state-rep-seventh-hampden.html),<a href=state-rep-seventh-hampden.html>Seventh Hampden</a>,Aaron L. Saunders (D-Belchertown),Democratic,Belchertown,1.0,D+7,7.170917300545321,"The Massachusetts Seventh Hampden State Representative District is currently represented by Democrat Aaron L. Saunders of Belchertown, who is running unopposed in the 2024 election. The district includes Belchertown, Ludlow, New Salem, Pelham, Petersham, Shutesbury, and Wendell, covering 296 square miles with a population of approximately 42,313."
State Representative,58797,Seventh Middlesex,[Seventh Middlesex](state-rep-seventh-middlesex.html),<a href=state-rep-seventh-middlesex.html>Seventh Middlesex</a>,Jack Patrick Lewis (D-Framingham),Democratic,Framingham,1.0,D+21,21.42334356628407,"The Seventh Middlesex State Representative District is currently represented by Democrat Jack Patrick Lewis of Framingham. The district covers parts of Framingham and Ashland, with a population of about 43,673 people across 23 square miles."
State Representative,58834,Seventh Norfolk,[Seventh Norfolk](state-rep-seventh-norfolk.html),<a href=state-rep-seventh-norfolk.html>Seventh Norfolk</a>,"Richard Gerard Wells, Jr (D-Milton)",Democratic,Milton,0.6485844483226683,D+23,23.401282849064387,"The Massachusetts Seventh Norfolk State Representative District covers parts of Milton and Randolph, with a population of 42,319. The district is currently represented by Richard Gerard Wells, Jr. (D-Milton), who won the 2024 election with 65% of the vote against Clinton Graham."
State Representative,58849,Seventh Plymouth,[Seventh Plymouth](state-rep-seventh-plymouth.html),<a href=state-rep-seventh-plymouth.html>Seventh Plymouth</a>,Alyson M. Sullivan-Almeida (R-Abington),Republican,Abington,1.0,EVEN,-0.26123607103129,"The Massachusetts Seventh Plymouth State Representative District is currently represented by Alyson M. Sullivan-Almeida (Republican) from Abington. The district covers the towns of Abington, Whitman, and parts of East Bridgewater (precincts 1, 2, and 3)."
State Representative,58861,Seventh Suffolk,[Seventh Suffolk](state-rep-seventh-suffolk.html),<a href=state-rep-seventh-suffolk.html>Seventh Suffolk</a>,Chynah Tyler (D-Boston),Democratic,Boston,1.0,D+40,39.82087592771696,"The Massachusetts Seventh Suffolk State Representative District covers several precincts in Boston, encompassing approximately 2 square miles with a population of 39,463. The district is currently represented by incumbent Chynah Tyler (D-Boston), who has won every election since 2016, with her predecessor Gloria L. Fox (D-Boston) having represented the district from at least 1990 to 2014."
State Representative,58880,Seventh Worcester,[Seventh Worcester](state-rep-seventh-worcester.html),<a href=state-rep-seventh-worcester.html>Seventh Worcester</a>,Paul K. Frost (R-Auburn),Republican,Auburn,0.6921880909358322,D+1,0.7648883474973833,"This district covers parts of Auburn, Charlton, Leicester, Millbury, and Oxford. It has a population of 43,511 and is predominantly white (89%). The current incumbent is Paul K. Frost, a Republican from Auburn, who has held this seat since 1997 and has been consistently re-elected, most recently in 2022 with 75% of the vote against Terry Burke Dotson."
State Representative,58771,Sixteenth Essex,[Sixteenth Essex](state-rep-sixteenth-essex.html),<a href=state-rep-sixteenth-essex.html>Sixteenth Essex</a>,Francisco E. Paulino (D-Methuen),Democratic,Methuen,1.0,D+11,11.301587396282477,"This Massachusetts Sixteenth Essex State Representative District is primarily located in the cities of Lawrence and Methuen. The current incumbent is Francisco E. Paulino, a Democrat from Methuen, who was elected in 2022 and is running for reelection in 2024."
State Representative,58806,Sixteenth Middlesex,[Sixteenth Middlesex](state-rep-sixteenth-middlesex.html),<a href=state-rep-sixteenth-middlesex.html>Sixteenth Middlesex</a>,Rodney M. Elliott (D-Lowell),Democratic,Lowell,1.0,D+11,10.851563140403384,"The Massachusetts Sixteenth Middlesex State Representative District covers parts of Chelmsford and Lowell, with a population of 43,352. The current incumbent is Democratic Representative Rodney M. Elliott of Lowell, who was elected in 2022 with 65% of the vote and is running unopposed in the 2024 election."
State Representative,58870,Sixteenth Suffolk,[Sixteenth Suffolk](state-rep-sixteenth-suffolk.html),<a href=state-rep-sixteenth-suffolk.html>Sixteenth Suffolk</a>,Jessica Ann Giannino (D-Revere),Democratic,Revere,1.0,D+5,4.7094201039646455,"The Massachusetts Sixteenth Suffolk State Representative District is represented by incumbent Democrat Jessica Ann Giannino from Revere. The district encompasses most of Revere and a small portion of Saugus, with a population of approximately 40,000 residents."
State Representative,58889,Sixteenth Worcester,[Sixteenth Worcester](state-rep-sixteenth-worcester.html),<a href=state-rep-sixteenth-worcester.html>Sixteenth Worcester</a>,Daniel M. Donahue (D-Worcester),Democratic,Worcester,1.0,D+13,12.513826996228584,"Massachusetts Sixteenth Worcester State Representative District encompasses 13 precincts in Worcester. The current incumbent is Democrat Daniel M. Donahue of Worcester, who has represented the district since winning a special election in 2013 and has run unopposed in most recent elections."
State Representative,58747,Sixth Bristol,[Sixth Bristol](state-rep-sixth-bristol.html),<a href=state-rep-sixth-bristol.html>Sixth Bristol</a>,Carole A. Fiola (D-Fall River),Democratic,Fall River,1.0,D+3,3.059446756812234,"The Massachusetts Sixth Bristol State Representative District includes parts of Fall River and one precinct in Freetown, with a population of 42,660. The current incumbent is Democrat Carole A. Fiola of Fall River, who has held the seat since winning a special election in September 2013."
State Representative,58761,Sixth Essex,[Sixth Essex](state-rep-sixth-essex.html),<a href=state-rep-sixth-essex.html>Sixth Essex</a>,Jerald A. Parisella (D-Beverly),Democratic,Beverly,0.7104699940073624,D+18,18.038372152331327,"The district encompasses Beverly and Wenham, with a population of 43,831. The incumbent is Democratic State Representative Jerald A. Parisella of Beverly, who has represented the district since 2010, consistently winning reelection, most recently with 71% of the vote in 2024."
State Representative,58781,Sixth Hampden,[Sixth Hampden](state-rep-sixth-hampden.html),<a href=state-rep-sixth-hampden.html>Sixth Hampden</a>,Michael J. Finn (D-West Springfield),Democratic,West Springfield,1.0,D+1,1.4296139833125832,"The Massachusetts Sixth Hampden State Representative District includes portions of Agawam, Chicopee, West Springfield, and Westfield, with a population of approximately 43,764. The current incumbent is Democratic Representative Michael J. Finn of West Springfield, who has held the seat since 2010 and has run unopposed in most recent elections."
State Representative,58796,Sixth Middlesex,[Sixth Middlesex](state-rep-sixth-middlesex.html),<a href=state-rep-sixth-middlesex.html>Sixth Middlesex</a>,Priscila S. Sousa (D-Framingham),Democratic,Framingham,1.0,D+23,22.50032190825575,"The Massachusetts Sixth Middlesex State Representative District encompasses Framingham with a diverse population of 40,033 residents. The current incumbent is Democrat Priscila S. Sousa from Framingham, who won reelection in 2022 and 2024 with 100% of the vote."
State Representative,58833,Sixth Norfolk,[Sixth Norfolk](state-rep-sixth-norfolk.html),<a href=state-rep-sixth-norfolk.html>Sixth Norfolk</a>,William C. Galvin (D-Canton),Democratic,Canton,1.0,D+13,12.62774305373381,"The Massachusetts Sixth Norfolk State Representative District encompasses Avon, Canton, and parts of Stoughton, with a population of 43,712. The district is currently represented by William C. Galvin (D-Canton), who has consistently won elections since at least 1990, often running unopposed in recent elections."
State Representative,58848,Sixth Plymouth,[Sixth Plymouth](state-rep-sixth-plymouth.html),<a href=state-rep-sixth-plymouth.html>Sixth Plymouth</a>,Kenneth Sweezey (R-Pembroke),Republican,Pembroke,0.5297420225996731,D+4,3.955962584959905,"The Massachusetts Sixth Plymouth State Representative District covers Duxbury, parts of Halifax, Hanson, Marshfield, and Pembroke, encompassing an area of 66 square miles with a population of 44,620. Republican Kenneth Sweezey is the current representative, having defeated Democrat Rebecca Coletta in the 2024 election with 53% of the vote."
State Representative,58860,Sixth Suffolk,[Sixth Suffolk](state-rep-sixth-suffolk.html),<a href=state-rep-sixth-suffolk.html>Sixth Suffolk</a>,Russell E. Holmes (D-Boston),Democratic,Boston,1.0,D+39,39.471998654366494,The Massachusetts Sixth Suffolk State Representative District is located in Boston and is currently represented by Democratic incumbent Russell E. Holmes. The district is predominantly minority (91%) with a significant Black population (57%) and has been consistently held by Democratic representatives who have run unopposed in elections since 2010.
State Representative,58879,Sixth Worcester,[Sixth Worcester](state-rep-sixth-worcester.html),<a href=state-rep-sixth-worcester.html>Sixth Worcester</a>,"John J. Marsi, Jr (R-Dudley)",Republican,Dudley,0.6193060188181411,R+2,-2.4690926880335584,"The Massachusetts Sixth Worcester State Representative District encompasses Charlton (precincts 1, 2, 3, 4A), Dudley, Southbridge, and Spencer (precinct 1), covering about 84 square miles with a population of 43,277. The district is currently represented by Republican John J. Marsi, Jr. of Dudley, who won a special election in March 2024 and was reelected in November 2024 with 62% of the vote."
State Representative,58751,Tenth Bristol,[Tenth Bristol](state-rep-tenth-bristol.html),<a href=state-rep-tenth-bristol.html>Tenth Bristol</a>,Mark David Sylvia (D-Fairhaven),Democratic,Fairhaven,0.5263502581092534,D+2,2.2758180549442453,"The Massachusetts Tenth Bristol State Representative District is located in southeastern Massachusetts, encompassing all of Fairhaven, Marion, and Mattapoisett, as well as portions of Acushnet, New Bedford, and Rochester. The current representative is Democrat Mark David Sylvia of Fairhaven, who won the seat in the 2024 election with 53% of the vote against Republican Joseph M. Pires."
State Representative,58765,Tenth Essex,[Tenth Essex](state-rep-tenth-essex.html),<a href=state-rep-tenth-essex.html>Tenth Essex</a>,Daniel H. Cahill (D-Lynn),Democratic,Lynn,1.0,D+16,15.94136852972362,The Massachusetts Tenth Essex State Representative District is located entirely within the city of Lynn and is currently represented by incumbent State Representative Daniel H. Cahill (D-Lynn). Representative Cahill has run unopposed in every election since he first won the seat in a special election in 2016.
State Representative,58785,Tenth Hampden,[Tenth Hampden](state-rep-tenth-hampden.html),<a href=state-rep-tenth-hampden.html>Tenth Hampden</a>,Carlos Gonzalez (D-Springfield),Democratic,Springfield,1.0,D+24,23.95171648675214,"The Massachusetts Tenth Hampden State Representative District is located entirely in Springfield and is currently represented by Democratic incumbent Carlos Gonzalez of Springfield. The district has a predominantly minority population (84%) with high poverty rates (42%), and Gonzalez has been re-elected without opposition since first winning the seat in 2014."
